2025-05-22 11:15:04.833 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-05-22 11:15:04.943 +08:00 || Information ||  || 运行环境: "MQ接口服务正在运行!!! 请勿随意关闭接口服务，避免造成数据丢失!!! Powered by .NET 9.0.5 强力驱动 on Kestrel" ||  ||end 
2025-05-22 11:15:05.252 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:5016" ||  ||end 
2025-05-22 11:15:05.260 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
2025-05-22 11:15:05.263 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Development" ||  ||end 
2025-05-22 11:15:05.265 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\客户源码--余开明\私单\江西附属医院\MQWebApplication\MQWebApplication" ||  ||end 
2025-05-22 11:16:12.022 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "POST" "http"://"localhost:5016""""/api/MQ/ComposePutAndGetMsg""" - "application/json" 86 ||  ||end 
2025-05-22 11:16:12.051 +08:00 || Warning || Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware || Failed to determine the https port for redirect. ||  ||end 
2025-05-22 11:16:12.059 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"MQWebApplication.Controllers.MQController.post (MQWebApplication)"' ||  ||end 
2025-05-22 11:16:12.094 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Route matched with "{action = \"post\", controller = \"MQ\"}". Executing controller action with signature "Microsoft.AspNetCore.Mvc.IActionResult post(MQWebApplication.Models.PutMsgDto)" on controller "MQWebApplication.Controllers.MQController" ("MQWebApplication"). ||  ||end 
2025-05-22 11:16:18.192 +08:00 || Information || MQWebApplication.Controllers.MQController || XML消息体内容:"﻿<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-22 11:16:17</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-22 11:16:17\" action=\"update\"><PINYIN_CODE /><WUBI_CODE /><INVALID_FLAG>1</INVALID_FLAG><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><UPDATE_USER /><UPDATE_TIME>2025-05-22 11:16:17</UPDATE_TIME><IS_WARD>0</IS_WARD><UPDATE_FLAG>0</UPDATE_FLAG></Msg></MsgInfo></ESBEntry>" ||  ||end 
2025-05-22 11:16:18.218 +08:00 || Information || MQWebApplication.Controllers.MQController || 生成MQ消息体内容:PutMsgDto { DataChannel: "PS02004", Msg: "﻿<ESBEntry><AccessControl><SysFlag>1</SysFlag><UserName>rsgl</UserName><Password>rsgl123</Password><Fid>PS02004</Fid><OrderNo>PS02004S01001</OrderNo></AccessControl><MessageHeader><OrderNo>PS02004S01001</OrderNo><Fid>PS02004</Fid><SourceSysCode>S27</SourceSysCode><ReturnFlag>-1</ReturnFlag><HospCode>GH01</HospCode><TargetSysCode>S00</TargetSysCode><MsgDate>2025-05-22 11:16:17</MsgDate></MessageHeader><MsgInfo flag=\"\"><Msg id=\"996\" lastUpdate=\"2025-05-22 11:16:17\" action=\"update\"><PINYIN_CODE /><WUBI_CODE /><INVALID_FLAG>1</INVALID_FLAG><RECORD_DATE /><SUBOR_HOSPITAL_DISTRICT>A</SUBOR_HOSPITAL_DISTRICT><DEPT_CODE>1234</DEPT_CODE><DEPT_NAME>测试科室</DEPT_NAME><OI_DEPT_FLAG /><MS_DEPT_FLAG /><DEPT_CATEG_CODE>O</DEPT_CATEG_CODE><DEPT_CATEG_NAME>其它</DEPT_CATEG_NAME><SUPERIOR_DEPT_CODE /><SUPERIOR_DEPT_NAME /><LOCATION /><CLINIC_DEPT_FLAG /><UPDATE_USER /><UPDATE_TIME>2025-05-22 11:16:17</UPDATE_TIME><IS_WARD>0</IS_WARD><UPDATE_FLAG>0</UPDATE_FLAG></Msg></MsgInfo></ESBEntry>", MsgId: "", QMgrName: "QMGR.P27", WaitInternal: 1 } ||  ||end 
2025-05-22 11:16:23.411 +08:00 || Information || MQWebApplication.Controllers.MQController || 接收返回MQ消息:SdkResponse`1 { Result: null, Msg: "", Code: "SDK23999", IsSuccessful: False, Data: null, OID: null } ||  ||end 
2025-05-22 11:16:23.420 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ObjectResultExecutor || Executing "OkObjectResult", writing value of type '"MQSDK.SdkResponse`1[[MQSDK.Models.GetMsgResult, MQSDK, Version=4.5.7905.29417, Culture=neutral, PublicKeyToken=null]]"'. ||  ||end 
2025-05-22 11:16:23.448 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Executed action "MQWebApplication.Controllers.MQController.post (MQWebApplication)" in 11345.6073ms ||  ||end 
2025-05-22 11:16:23.460 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executed endpoint '"MQWebApplication.Controllers.MQController.post (MQWebApplication)"' ||  ||end 
2025-05-22 11:16:23.462 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request finished "HTTP/1.1" "POST" "http"://"localhost:5016""""/api/MQ/ComposePutAndGetMsg""" - 200 null "application/json; charset=utf-8" 11441.8144ms ||  ||end 
2025-05-22 11:16:31.494 +08:00 || Information || Microsoft.Hosting.Lifetime || Application is shutting down... ||  ||end 
2025-05-22 11:21:36.511 +08:00 || Information ||  || 服务启动："Services Starting..." ||  ||end 
2025-05-22 11:21:36.572 +08:00 || Information ||  || 运行环境: "MQ接口服务正在运行!!! 请勿随意关闭接口服务，避免造成数据丢失!!! Powered by .NET 9.0.5 强力驱动 on Kestrel" ||  ||end 
2025-05-22 11:21:36.920 +08:00 || Information || Microsoft.Hosting.Lifetime || Now listening on: "http://localhost:5016" ||  ||end 
2025-05-22 11:21:36.924 +08:00 || Information || Microsoft.Hosting.Lifetime || Application started. Press Ctrl+C to shut down. ||  ||end 
2025-05-22 11:21:36.925 +08:00 || Information || Microsoft.Hosting.Lifetime || Hosting environment: "Development" ||  ||end 
2025-05-22 11:21:36.926 +08:00 || Information || Microsoft.Hosting.Lifetime || Content root path: "D:\客户源码--余开明\私单\江西附属医院\MQWebApplication\MQWebApplication" ||  ||end 
2025-05-22 11:21:44.939 +08:00 || Information || Microsoft.AspNetCore.Hosting.Diagnostics || Request starting "HTTP/1.1" "POST" "http"://"localhost:5016""""/api/MQ/ComposePutAndGetMsg""" - "application/json" 86 ||  ||end 
2025-05-22 11:21:44.985 +08:00 || Warning || Microsoft.AspNetCore.HttpsPolicy.HttpsRedirectionMiddleware || Failed to determine the https port for redirect. ||  ||end 
2025-05-22 11:21:44.991 +08:00 || Information || Microsoft.AspNetCore.Routing.EndpointMiddleware || Executing endpoint '"MQWebApplication.Controllers.MQController.post (MQWebApplication)"' ||  ||end 
2025-05-22 11:21:45.044 +08:00 || Information || Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker || Route matched with "{action = \"post\", controller = \"MQ\"}". Executing controller action with signature "Microsoft.AspNetCore.Mvc.IActionResult post(MQWebApplication.Models.PutMsgDto)" on controller "MQWebApplication.Controllers.MQController" ("MQWebApplication"). ||  ||end 
